excluded_reason	id	name	description	categories	primary_category	tier	homepage	homepage_status	repo_url	repo_status	repo_origin	repo_stars	repo_pushed	repo_archived	repo_language	repo_license	tool_type	topics	languages	license	license_source	maturity	cost	registries	citations	citation_note	year	publication	citations_total	citations_papers	publication_title	publication_venue	publication_url	citations_recent	citations_recent_year	pmid	doi	publication_is_preprint	biotools_id	biotools_url	last_update	source	tags	featured
Curated resource of ferroptosis regulators; a disease gene list, not a regulatory-genomics tool	ferrdb	FerrDb	FerrDb is a manually curated resource for regulators and markers of ferroptosis and ferroptosis-disease associations.	grn-inference	grn-inference	core	http://www.zhounan.org/ferrdb										Database portal	Pathology|Metabolomics|Small molecules|Molecular biology|Oncology							838		2020	pmid:32219413										False	ferrdb	https://bio.tools/ferrdb	2021-03-10	bio.tools		
Predicts protein structural and functional features, not regulatory genomics; admitted on EDAM 'Sequence motif discovery' alone	predictprotein_open	PredictProtein Open	Prediction of various aspects of protein structure and function	motif-discovery	motif-discovery	core	http://ppopen.informatik.tu-muenchen.de/										Web application	Proteins|Sequence analysis|Structure analysis|Data mining|Data visualisation|Machine learning|Function analysis|Ontology and terminology		CC-BY-4.0		Mature	Free of charge		630		2014	doi:10.1093/nar/gku366										False	predictprotein_open	https://bio.tools/predictprotein_open	2018-12-10	bio.tools		
Discovers gene fusions from RNA-Seq data, not regulatory genomics; admitted on EDAM 'Sequence motif discovery' alone	defuse	DeFuse	A software package for gene fusion discovery using RNA-Seq data	motif-discovery	motif-discovery	core	http://shahlab.ca/projects/defuse/										Command-line tool	Gene structure|RNA-Seq|Gene transcripts|Oncology	C++			Mature			581			pmid:21625565										False	defuse	https://bio.tools/defuse	2024-11-25	bio.tools		
Finds mutated subnetworks in cancer via protein interaction networks, not gene regulatory networks; admitted on EDAM 'Gene regulatory network analysis' alone	hotnet	HotNet	Algorithm for finding significanlty altered subnetworks in a large gene interaction network.	grn-inference	grn-inference	core	http://compbio.cs.brown.edu/projects/hotnet/		https://github.com/raphael-group/hotnet		recorded	8	2019-01-21	False	Python	NOASSERTION	Command-line tool	Systems biology|Genetics|Gene regulation|Molecular interactions, pathways and networks	Python						449		2011	pmid:21385051										False	hotnet	https://bio.tools/hotnet	2024-11-25	bio.tools		
Predicts protein-protein binding sites, not regulatory genomics; admitted on EDAM 'Peak calling' alone	promateus	ProMateus	ProMateus extends ProMate, a protein binding site predictor, and allows the user to suggest new features that might improve the prediction of the binding site locations.	tfbs-prediction|peak-calling	tfbs-prediction	core	http://bioportal.weizmann.ac.il/promate/										Web application	Protein binding sites|Nucleic acid sites, features and motifs|DNA binding sites|Transcription factors and regulatory sites|Proteins							447			pmid:15050833										False	promateus	https://bio.tools/promateus	2024-11-25	bio.tools		
Focuses on T-cell receptor sequences and antigens, not regulatory genomics; admitted on EDAM 'Sequence motif discovery' alone	VDJdb	VDJdb	VDJdb is a database extension, new analysis infrastructure and a T-cell receptor motif compendium.	motif-discovery	motif-discovery	core	https://vdjdb.cdr3.net		https://github.com/antigenomics/vdjdb-db		inferred							Immunoproteins and antigens|Sequence sites, features and motifs|Data submission, annotation and curation|Bioinformatics							437		2020	pmid:31588507										False	VDJdb	https://bio.tools/VDJdb	2021-01-16	bio.tools		
Predicts protein/peptide toxicity, not regulatory genomics	toxinpred2	ToxinPred2	A webserver for designing and predicting toxic and non-toxic proteins.	motif-scanning	motif-scanning	extended	https://webs.iiitd.edu.in/raghava/toxinpred2/		https://github.com/raghavagps/toxinpred2		recorded	20	2026-05-08	False	Perl	GPL-3.0	Web application|Command-line tool	Small molecules|Toxicology|Machine learning|Sequence sites, features and motifs|Preclinical and clinical studies	Perl|Python	GPL-3.0			Free of charge		354		2022	pmid:35595541										False	toxinpred2	https://bio.tools/toxinpred2	2024-11-24	bio.tools		
Focuses on general gene annotation and transcript characterization, not regulatory genomics	tact	TACT	Automated tool for conducting functional annotation of transcripts that integrates sequence similarity searches and functional motif predictions	motif-scanning	motif-scanning	extended	http://jbirc.jbic.or.jp/tact/										Web application	Gene transcripts|DNA polymorphism|Humans|Gene expression|Genetic variation							334		2004	pmid:15103394										False	tact	https://bio.tools/tact	2018-12-10	bio.tools		
Annotates and detects short linear motifs in proteins mediating protein-protein interactions, not regulatory genomics; admitted on EDAM 'Sequence motif discovery' alone	eukaryotic_linear_motif	Eukaryotic Linear Motif	This computational biology resource mainly focuses on annotation and detection of eukaryotic linear motifs (ELMs) by providing both a repository of annotated motif data and an exploratory tool for motif prediction.	motif-discovery|motif-scanning|motif-databases	motif-discovery	core	http://elm.eu.org										Web application	Model organisms|Sequence sites, features and motifs|Infectious disease|Protein interactions|Small molecules	Elm				Free of charge		286		2022	pmid:34718738										False	eukaryotic_linear_motif	https://bio.tools/eukaryotic_linear_motif	2022-05-09	bio.tools		
Database of bacterial mobile genetic elements, not regulatory genomics; admitted on EDAM 'Promoter prediction' alone	iceberg	ICEberg	Web-based resource for integrative and conjugative elements (ICEs) found in bacteria.	motif-databases|tfbs-prediction|regulatory-elements	motif-databases	core	http://db-mml.sjtu.edu.cn/ICEberg/										Database portal	Transcription factors and regulatory sites|Model organisms|Mapping|Mobile genetic elements|DNA							238			pmid:22009673										False	iceberg	https://bio.tools/iceberg	2024-11-25	bio.tools		
Tool is for compositional data analysis and proportionality, not regulatory genomics; admitted on EDAM 'Peak calling' alone	propr	propr	Identifying Proportionally Abundant Features Using Compositional Data Analysis.	peak-calling	peak-calling	core	https://cran.r-project.org/web/packages/propr/index.html		https://github.com/tpq/propr		recorded	81	2026-05-19	False	R		Library	Gene expression|RNA-Seq|ChIP-seq	R	GPL-2.0					238		2017	pmid:29176663										False	propr	https://bio.tools/propr	2024-11-25	bio.tools		
Identifies ligand binding sites in protein structures, not regulatory genomics; admitted on EDAM 'Peak calling' alone	sitehound-web	SITEHOUND-web	SITEHOUND-web is a server that identifies ligand binding sites in protein structures	tfbs-prediction|peak-calling	tfbs-prediction	core	http://sitehound.sanchezlab.org										Web application	Probes and primers|Protein binding sites|DNA binding sites|Nucleic acid sites, features and motifs|Protein structure analysis	R|Java|Python						232			pmid:19398430										False	sitehound-web	https://bio.tools/sitehound-web	2024-11-25	bio.tools		
Duplicate bio.tools record for methylclock, which is already in the catalog under that id	bioconductor-methylclock	methylclock	This package allows to estimate chronological and gestational DNA methylation (DNAm) age as well as biological age using different methylation clocks	dna-methylation	dna-methylation	core	https://bioconductor.org/packages/methylclock		https://github.com/isglobal-brge/methylclock		recorded	55	2026-05-18	False	HTML	MIT	Command-line tool|Library		R	MIT					231		2020	doi:10.1093/bioinformatics/btaa825										False	bioconductor-methylclock	https://bio.tools/bioconductor-methylclock	2026-08-30	bio.tools		
Focuses on adaptive immune receptor repertoires (B-cell/T-cell), not regulatory genomics; admitted on EDAM 'Sequence motif comparison' alone	ireceptor	iReceptor	iReceptor is a data discovery platform that facilitates the curation, analysis and sharing of antibody/B-cell and T-cell receptor repertoires (Adaptive Immune Receptor Repertoire or AIRR-seq data) and related subject and sample metadata from multiple studies across many labs and institutions.	motif-discovery|motif-comparison|motif-databases	motif-discovery	core	https://gateway.ireceptor.org										Bioinformatics portal	Immunogenetics|Immunomics		LGPL-3.0		Mature	Free of charge		190		2018	pmid:29944754										False	ireceptor	https://bio.tools/ireceptor	2024-11-24	bio.tools		
Tool models protein families and motifs, not regulatory genomics	meta-meme	Meta-MEME	Creates hidden Markov model of motif from MEME output and searches sequence database for matches to this motif.	motif-scanning	motif-scanning	extended	http://metameme.sdsc.edu/										Web application	Sequence sites, features and motifs|Sequence analysis|Gene and protein families							177			pmid:9283754										False	meta-meme	https://bio.tools/meta-meme	2024-11-25	bio.tools		
Detects natural selection via McDonald-Kreitman test, not regulatory genomics	mkt	MKT	Standard and Generalized McDonald-Kreitman Test (MKT) is a web tool for the molecular level detection of signatures of natural selection.	motif-scanning	motif-scanning	extended	http://mkt.uab.es										Web application	Genetic variation|Gene transcripts|Population genetics|Mapping|Zoology							152			pmid:18515345										False	mkt	https://bio.tools/mkt	2024-11-25	bio.tools		
This is a genome project and database, not a regulatory-genomics tool; admitted on EDAM 'Transcriptional regulatory element prediction' alone	fugu-sg	IMCB - Fugu Genome Project	Lots of information on fugu including complete draft sequence, annotations, comparative vertebrate genomics, phylogenies, publications, and information about the fugu genome project; has some very useful tools including annotation tools, an Ensembl mirror, and BLAST.	regulatory-elements	regulatory-elements	core	http://www.fugu-sg.org/										Web application	Model organisms|Mapping|Gene transcripts|Sequence assembly|Phylogeny							146		2000	pmid:10878239										False	fugu-sg	https://bio.tools/fugu-sg	2024-11-24	bio.tools		
Predicts microRNA binding sites on target RNA, which is RNA regulation, not regulatory genomics; admitted on EDAM 'Transcription factor binding site prediction' alone	starmir	STarMir	STarMir is a web server for prediction of microRNA binding sites.	tfbs-prediction	tfbs-prediction	core	http://sfold.wadsworth.org/starmir.html										Web application	Functional, regulatory and non-coding RNA|Nucleic acid sites, features and motifs|Gene transcripts|DNA binding sites|RNA immunoprecipitation							138		2014	pmid:24803672										False	starmir	https://bio.tools/starmir	2018-12-10	bio.tools		
Tool segments and tracks cells from images, not for regulatory genomics analysis; admitted on EDAM 'Gene regulatory network analysis' alone	moma	MoMA	Takes specific advantage of the geometry of the device to accurately segment and track cells using only phase-contrast images, and further provides a curation user interface with leveraged-editing, meaning that a set of related errors are often fixed with a single click.	grn-inference	grn-inference	core	https://github.com/fjug/MoMA		https://github.com/fjug/MoMA		recorded	4	2019-08-21	False	Java		Plug-in|Desktop application	Imaging|Cell biology|Gene regulation	Shell						133		2018	pmid:29335514										False	moma	https://bio.tools/moma	2024-11-25	bio.tools		
General feature generation tool for DNA, RNA, and protein sequences, not specific to regulatory genomics; admitted on EDAM 'Promoter prediction' alone	PyFeat	PyFeat	Python-based effective feature generation tool for DNA, RNA and protein sequences.	tfbs-prediction|regulatory-elements	tfbs-prediction	core	https://github.com/mrzResearchArena/PyFeat/		https://github.com/mrzResearchArena/PyFeat		recorded	97	2022-08-14	False	Python	GPL-3.0	Command-line tool	Gene transcripts|Transcription factors and regulatory sites|Structure prediction	Python	Unlicense		Mature	Free of charge		121		2019	pmid:30850831										False	PyFeat	https://bio.tools/PyFeat	2024-11-24	bio.tools		
Detects subcellular morphological motifs in 3D microscopy images, not regulatory genomics motifs	u-shape3D	u-shape3D	Robust and automated detection of subcellular morphological motifs in 3D microscopy images | Detect morphological motifs, such as blebs, filopodia, and lamellipodia, from 3D images of surfaces, particularly images of cell surfaces | Software for 3D Morphological Motif Detection | This suite of software was designed to detect morphological motifs, such as blebs, filopodia, and lamellipodia, from 3D images of surfaces, particularly images of cell surfaces	motif-scanning|tfbs-prediction	motif-scanning	extended	https://github.com/DanuserLab/u-shape3D		https://github.com/DanuserLab/u-shape3D		recorded	33	2026-05-29	False	MATLAB	GPL-3.0		Imaging|Protein structural motifs and surfaces|Transcription factors and regulatory sites	MATLAB	GPL-3.0					103		2019	pmid:31501548										False	u-shape3D	https://bio.tools/u-shape3D	2024-11-24	bio.tools		
Analyzes protein structures for allosteric and effector binding sites, not regulatory genomics; admitted on EDAM 'Peak calling' alone	spacer	SPACER	Web server analyzes protein structure, finds potential functional/effector binding sites, and shows allosteric communication between the sites.	tfbs-prediction|peak-calling	tfbs-prediction	core	http://allostery.bii.a-star.edu.sg/										Web application	Protein binding sites|Small molecules|Nucleic acid sites, features and motifs|DNA binding sites|Molecular dynamics	Java|C++|C						103			pmid:23737445										False	spacer	https://bio.tools/spacer	2024-11-25	bio.tools		
Tool quantifies peaks from cDNA microarray data for gene expression analysis, not regulatory genomics; admitted on EDAM 'Peak calling' alone	p-scan	P-SCAN	Software of Peak quantification using Statistical Comparative ANalysis.	peak-calling	peak-calling	core	http://abs.cit.nih.gov/pscan/										Command-line tool	Microarray experiment|Statistics and probability|Gene expression							102			pmid:10820484										False	p-scan	https://bio.tools/p-scan	2024-11-25	bio.tools		
Tool aligns protein binding sites from protein-small molecule complexes, which is out of scope as it deals with protein-ligand binding, not regulatory genomics; admitted on EDAM 'Peak calling' alone	multibind	MultiBind	Multiple Alignment of Protein Binding Sites (MultiBind) is a prediction tool for protein binding sites	peak-calling	peak-calling	core	http://bioinfo3d.cs.tau.ac.il/MultiBind										Web application	Protein binding sites|Protein interactions|DNA binding sites|Nucleic acid sites, features and motifs|Structure prediction							100		2008	pmid:18467424										False	multibind	https://bio.tools/multibind	2018-12-10	bio.tools		
TALENoffer predicts off-targets of TALENs for genome editing, not regulatory elements; admitted on EDAM 'Transcriptional regulatory element prediction' alone	talenoffer	TALENoffer	Genome-wide TALEN off-target prediction.	tfbs-prediction|regulatory-elements	tfbs-prediction	core	http://www.jstacs.de/index.php/TALENoffer										Web application	Genomics|Transcriptomics|Transcription factors and regulatory sites	Java	GPL-3.0					98		2013	pmid:23995255										False	talenoffer	https://bio.tools/talenoffer	2018-12-10	bio.tools		
GlyTouCan is a glycan repository, not a regulatory genomics tool	glytoucan	GlyTouCan	The international glycan repository GlyTouCan version 3.0	motif-discovery|motif-scanning|motif-databases	motif-discovery	extended	https://glytoucan.org										Database portal	Sequence sites, features and motifs|Literature and language|Mapping|Protein structural motifs and surfaces							90		2021	pmid:33125071										False	glytoucan	https://bio.tools/glytoucan	2021-01-25	bio.tools		
Tool identifies zinc binding sites in proteins, not transcription factor binding sites or regulatory genomics; admitted on EDAM 'Transcription factor binding site prediction' alone	ZincBind	ZincBind	Database of zinc binding sites.	motif-databases|tfbs-prediction	motif-databases	core	https://zincbind.bioinf.org.uk/		https://github.com/samirelanduk/ZincBindDB		recorded	16	2025-04-08	False	Python		Web API|Web application|Database portal	Transcription factors and regulatory sites|Protein binding sites|Database management	Python			Mature	Free of charge		89		2019	pmid:30722040										False	ZincBind	https://bio.tools/ZincBind	2020-06-16	bio.tools		
Predicts mRNA subcellular localization, not cis-regulatory elements in the regulatory genomics sense; admitted on EDAM 'cis-regulatory element prediction' alone	RNATracker	RNATracker	Prediction of mRNA subcellular localization using deep recurrent neural networks | RNATracker is a deep learning approach to learn mRNA subcellular localization patterns and to infer its outcome	regulatory-elements	regulatory-elements	core	https://www.github.com/HarveyYan/RNATracker		https://github.com/HarveyYan/RNATracker		recorded	15	2019-07-19	False	Python	GPL-3.0		Gene transcripts|Machine learning|Gene expression	Python	GPL-3.0					88			pmid:31510698										False	RNATracker	https://bio.tools/RNATracker	2026-08-02	bio.tools		
Detects protein binding sites, not regulatory genomics; admitted on EDAM 'Peak calling' alone	probis	ProBiS	Web server which detects protein binding sites based on local structural alignments	peak-calling	peak-calling	core	http://probis.cmm.ki.si										Web application	Protein binding sites|DNA binding sites|Protein structural motifs and surfaces|Proteins							86			pmid:20504855	172	2								False	probis	https://bio.tools/probis	2024-11-25	bio.tools		
Focuses on bacterial genomic islands and mobile elements, not regulatory genomics; admitted on EDAM 'Sequence motif discovery' alone	mobilomefinder	MobilomeFINDER	Tool for high-throughput genomic island discovery.	motif-discovery|tfbs-prediction	motif-discovery	core	http://db-mml.sjtu.edu.cn/MobilomeFINDER/										Web application	Genomics|Sequencing|Transcription factors and regulatory sites|Drug discovery		Unlicense		Mature	Free of charge		84		2007	pmid:17537813										False	mobilomefinder	https://bio.tools/mobilomefinder	2024-11-24	bio.tools		
Tool predicts links in biomedical bipartite networks (e.g., drug-target, disease-gene) and is not specific to regulatory genomics; admitted on EDAM 'Promoter prediction' alone	grgmf	GRGMF	A graph regularized generalized matrix factorization model for predicting links in biomedical bipartite networks	regulatory-elements	regulatory-elements	core	https://github.com/happyalfred2016/GRGMF		https://github.com/happyalfred2016/GRGMF		recorded	17	2020-03-13	False	Python	GPL-2.0	Command-line tool	Small molecules|Pathology|Drug discovery	Python	GPL-2.0					84		2020	pmid:32145009										False	grgmf	https://bio.tools/grgmf	2021-01-25	bio.tools		
Tool performs gene set enrichment analysis on transcriptomic data, not regulatory genomics; admitted on EDAM 'Transcriptional regulatory element prediction' alone	bubble_gum	Bubble GUM	Computational tool that allows to automatically extract phenotype signatures based on transcriptomic data and to perform easily multiple GSEA runs in a row.	regulatory-elements	regulatory-elements	core	http://www.ciml.univ-mrs.fr/applications/BubbleGUM/index.html										Desktop application	Transcriptomics|Genotype and phenotype|Sequence analysis	Java						83			pmid:26481321										False	bubble_gum	https://bio.tools/bubble_gum	2024-11-25	bio.tools		
Identifies Atg8-interacting motifs in proteins for autophagy, not regulatory genomics; admitted on EDAM 'Sequence motif comparison' alone	hfaim	hfAIM	A reliable bioinformatics approach for in silico genome-wide identification of autophagy-associated atg8-interacting motifs in various organisms.	motif-comparison	motif-comparison	core	http://bioinformatics.psb.ugent.be/hfAIM/										Command-line tool|Web application	Protein sites, features and motifs							77		2016	pmid:27071037										False	hfaim	https://bio.tools/hfaim	2019-01-13	bio.tools		
Tool is for proteomics spectral library generation and rescoring, not regulatory genomics; admitted on EDAM 'Promoter prediction' alone	oktoberfest	Oktoberfest	Open-source spectral library generation and rescoring pipeline based on Prosit.	regulatory-elements	regulatory-elements	core	https://github.com/wilhelm-lab/oktoberfest		https://github.com/wilhelm-lab/oktoberfest		recorded	57	2026-07-24	False	Python	MIT	Command-line tool	Proteomics experiment|Proteomics|Small molecules|Machine learning|Workflows	Python	MIT			Free of charge		76		2024	pmid:37672792										False	oktoberfest	https://bio.tools/oktoberfest	2024-11-24	bio.tools		
Focuses on general network topological properties of gene/protein sets, not specifically on gene regulatory networks or regulatory genomics; admitted on EDAM 'Gene regulatory network analysis' alone	topogsa	TopoGSA	Web-application dedicated to the computation and visualization of network topological properties for gene and protein sets in molecular interaction networks	grn-inference	grn-inference	core	http://www.topogsa.net										Web application	Molecular interactions, pathways and networks|Protein interactions|Cell biology|Proteins	PHP						72		2010	pmid:20335277										False	topogsa	https://bio.tools/topogsa	2024-11-24	bio.tools		
predicts metal binding sites in proteins, not regulatory genomics; admitted on EDAM 'Peak calling' alone	metaldetector	MetalDetector	MetalDetector identifies CYS and HIS involved in transition metal protein binding sites beginning with protein sequence alone	tfbs-prediction|peak-calling	tfbs-prediction	core	http://metaldetector.dsi.unifi.it/v2.0/										Web application	Protein binding sites|DNA binding sites|Nucleic acid sites, features and motifs|Protein sites, features and motifs|Transcription factors and regulatory sites							71			pmid:21576237										False	metaldetector	https://bio.tools/metaldetector	2024-11-25	bio.tools		
Predicts ligands for protein binding sites, not transcription factor binding or regulatory genomics; admitted on EDAM 'Transcription factor binding site prediction' alone	probis-ligands	ProBiS-ligands	ProBiS is a web server for predicting ligands by similarity in binding sites.	tfbs-prediction	tfbs-prediction	core	http://probis.cmm.ki.si/ligands										Web application	Protein binding sites|Nucleic acid sites, features and motifs|DNA binding sites|Structure prediction|Transcription factors and regulatory sites							71		2014	pmid:24861616										False	probis-ligands	https://bio.tools/probis-ligands	2018-12-10	bio.tools		
Tool predicts guide efficiency for RNA targeting, not regulatory genomics; admitted on EDAM 'Sequence motif discovery' alone	rna-targeting	RNA-targeting	Here, we have predicted CasRx guide efficiency for all human and mouse RefSeq genes	motif-discovery|motif-databases|tfbs-prediction	motif-discovery	core	http://RNAtargeting.org										Web application|Database portal	Transcriptomics|Gene transcripts|Machine learning|RNA-Seq|Transcription factors and regulatory sites		Not licensed			Free of charge		65			doi:10.1016/j.cels.2023.11.006										False	rna-targeting	https://bio.tools/rna-targeting	2022-02-03	bio.tools		
Database of viral integration sites, not regulatory genomics; admitted on EDAM 'Promoter prediction' alone	VISDB	VISDB	a manually curated database of viral integration sites in the human genome	motif-discovery|tfbs-prediction	motif-discovery	core	https://bioinfo.uth.edu/VISDB											Functional, regulatory and non-coding RNA|Transcription factors and regulatory sites|Gene transcripts|Oncology|Genomics							57			pmid:31598702										False	VISDB	https://bio.tools/VISDB	2026-08-02	bio.tools		
predicts protein binding pockets for small-molecule inhibitors, not regulatory genomics; admitted on EDAM 'Peak calling' alone	trapp	TRAPP	TRAnsient Pockets in Proteins	peak-calling	peak-calling	core	http://trapp.h-its.org/										Web application	Protein binding sites|DNA binding sites|Molecular dynamics							56		2017	pmid:28431137										False	trapp	https://bio.tools/trapp	2019-01-15	bio.tools		
Database of protein-ligand binding sites and pockets, out of regulatory genomics scope; admitted on EDAM 'Peak calling' alone	possum	PoSSuM	A database of similar protien-ligand binding and putative pockets	motif-databases|tfbs-prediction|peak-calling|chip-resources	motif-databases	core	http://possum.cbrc.jp/PoSSuM/										Database portal	Protein binding sites|Transcription factors and regulatory sites|Nucleic acid sites, features and motifs|DNA binding sites|Medicinal chemistry							55		2012	pmid:22135290										False	possum	https://bio.tools/possum	2024-11-24	bio.tools		
General genomic data manipulation tool, not specific to regulatory genomics; admitted on EDAM 'Peak calling' alone	bedtoolsr	bedtoolsr	BedtoolsR is an R package that provides a convenient wrapper for bedtools functions allowing for the documentation and use of them from within the R programming environment, using standard R data types	peak-calling	peak-calling	core	http://phanstiel-lab.med.unc.edu/bedtoolsr.html		https://github.com/PhanstielLab/bedtoolsr		recorded	46	2025-03-19	False	R	NOASSERTION	Command-line tool|Library	Software engineering|Metagenomics|DNA	R|Python						55			pmid:31903447										False	bedtoolsr	https://bio.tools/bedtoolsr	2021-01-31	bio.tools		
Tool identifies subnetworks of co-expressed genes, not gene-regulatory networks; admitted on EDAM 'Gene regulatory network analysis' alone	key_pathway_miner	Key Pathway Miner	Extracts all maximal connected sub-networks that contain the genes that are differentially expressed	grn-inference	grn-inference	core	http://keypathwayminer.compbio.sdu.dk/										Command-line tool|Desktop application	Omics|Systems biology|Biomarkers							55		2011	doi:10.1080/15427951.2011.604548										False	key_pathway_miner	https://bio.tools/key_pathway_miner	2018-12-10	bio.tools		
Focuses on aging biomarkers and longevity gene function inference, not regulatory genomics; admitted on EDAM 'Gene regulatory network analysis' alone	modsubnetbiomident	Modular Subnetwork Biomarker Identification	Inferring the functions of longevity genes with modular subnetwork biomarkers of Caenorhabditis elegans aging	grn-inference	grn-inference	core	http://www.cs.utoronto.ca/~juris/data/GB10/										Web application	Biomarkers|Geriatric medicine|Molecular interactions, pathways and networks|Gene expression|Gene transcripts							54			pmid:20128910										False	modsubnetbiomident	https://bio.tools/modsubnetbiomident	2024-11-25	bio.tools		
SPASCER is a spatial transcriptomics database and annotation tool, not a regulatory genomics tool; admitted on EDAM 'Gene regulatory network analysis' alone	spascer	SPASCER	Spatial transcriptomics annotation at single-cell resolution.	grn-inference|single-cell	grn-inference	core	https://ccsm.uth.edu/SPASCER										Database portal	Transcriptomics|Molecular interactions, pathways and networks|Cell biology|RNA-Seq|Proteomics					Free of charge		53		2023	pmid:36243975										False	spascer	https://bio.tools/spascer	2024-11-24	bio.tools		
