id	name	description	categories	primary_category	tier	homepage	homepage_status	repo_url	repo_status	repo_origin	repo_stars	repo_pushed	repo_archived	repo_language	repo_license	tool_type	topics	languages	license	license_source	maturity	cost	registries	citations	citation_note	year	publication	citations_total	citations_papers	publication_title	publication_venue	publication_url	citations_recent	citations_recent_year	pmid	doi	publication_is_preprint	biotools_id	biotools_url	last_update	source	tags	featured
DeepBind	DeepBind	Convolutional model of DNA- and RNA-binding protein sequence specificity; the first deep-learning TF binding predictor	tfbs-prediction	tfbs-prediction	seed	https://tools.genes.toronto.edu/deepbind/		https://github.com/jisraeli/DeepBind		curated	104	2015-10-19	False	Python										3202		2015	doi:10.1038/nbt.3300			Predicting the sequence specificities of DNA- and RNA-binding proteins by deep learning	Nature Biotechnology	https://doi.org/10.1038/nbt.3300	252	2025	26213851	10.1038/nbt.3300	False				curated	deep-learning	
RegulomeDB	RegulomeDB	Annotates variants with regulatory evidence from ChIP-seq, DNase, eQTL and motif data	chip-resources|regulatory-variants	chip-resources	seed	https://regulomedb.org/																		2878		2012	doi:10.1101/gr.137323.112			Annotation of functional variation in personal genomes using RegulomeDB	Genome Research	https://doi.org/10.1101/gr.137323.112	173	2025	22955989	10.1101/gr.137323.112	False				curated		
DeepSEA	DeepSEA	Predicts chromatin effects of noncoding variants directly from sequence at single-nucleotide resolution	tfbs-prediction|regulatory-variants|nucleosome-chromatin	tfbs-prediction	seed	http://deepsea.princeton.edu/		https://github.com/FunctionLab/selene		curated	403	2024-12-16	False	Jupyter Notebook	BSD-3-Clause-Clear				BSD-3-Clause-Clear	repository			conda|pypi	2643		2015	doi:10.1038/nmeth.3547			Predicting effects of noncoding variants with deep learning–based sequence model	Nature Methods	https://doi.org/10.1038/nmeth.3547	260	2025	26301843	10.1038/nmeth.3547	False				curated	deep-learning	
aracne	ARACNE	Reconstructs gene regulatory networks from microarray expression profiles using an information theoretic approach to eliminate indirect interactions		uncategorised	core	http://wiki.c2b2.columbia.edu/califanolab/index.php/Software/ARACNE?										Command-line tool	Systems biology|Interactions|Networks	Java|C++						2489		2006	doi:10.1186/1471-2105-7-S1-S7			ARACNE: An Algorithm for the Reconstruction of Gene Regulatory Networks in a Mammalian Cellular Context	BMC Bioinformatics	https://doi.org/10.1186/1471-2105-7-S1-S7	129	2025	16723010	10.1186/1471-2105-7-S1-S7	False	aracne	https://bio.tools/aracne	2018-12-10	bio.tools		
methylkit	methylKit	R package for DNA methylation analysis and annotation from high-throughput bisulfite sequencing	nucleosome-chromatin|dna-methylation	nucleosome-chromatin	core	http://bioconductor.org/packages/release/bioc/html/methylKit.html		https://github.com/al2na/methylKit		recorded	261	2026-07-15	False	R		Command-line tool|Library	Methylated DNA immunoprecipitation|Epigenetics|DNA	R	Artistic-2.0	declared			bioconductor	2477		2012	pmid:23034086					https://pubmed.ncbi.nlm.nih.gov/23034086/			23034086		False	methylkit	https://bio.tools/methylkit	2019-01-09	bio.tools		
diffbind	DiffBind	Computes differentially bound sites from multiple ChIP-seq experiments using affinity data, with occupancy analysis and plotting functions	peak-calling|peak-annotation	peak-calling	core	http://bioconductor.org/packages/release/bioc/html/DiffBind.html										Command-line tool|Library	ChIP-seq	R	Artistic-2.0	declared			bioconductor	2408		2014	doi:10.1038/nature10730			Differential oestrogen receptor binding is associated with clinical outcome in breast cancer	Nature	https://doi.org/10.1038/nature10730	261	2025		10.1038/nature10730	False	diffbind	https://bio.tools/diffbind	2021-06-30	bio.tools		
HaploReg	HaploReg	Explores annotations of noncoding genome at variants on haplotype blocks, using LD from 1000 Genomes and chromatin state from Roadmap Epigenomics and ENCODE	regulatory-variants|molecular-qtl|nucleosome-chromatin	regulatory-variants	core	https://pubs.broadinstitute.org/mammals/haploreg/haploreg.php										Web application	DNA polymorphism|Genotype and phenotype|Pathology							2353		2012	pmid:22064851			HaploReg: a resource for exploring chromatin states, conservation, and regulatory motif alterations within sets of genetically linked variants	Nucleic Acids Research	https://pubmed.ncbi.nlm.nih.gov/22064851/	90	2025	22064851	10.1093/nar/gkr917	False	HaploReg	https://bio.tools/HaploReg	2024-11-24	bio.tools		
genie3	GENIE3	Infers gene regulatory networks from expression data using tree-based ensemble methods	grn-inference	grn-inference	core	https://github.com/vahuynh/GENIE3		https://github.com/vahuynh/GENIE3		recorded	102	2021-09-24	False	C		Library	Systems biology|Molecular interactions, pathways and networks|Gene expression|Machine learning	R|MATLAB|Python					bioconductor	2315		2010	pmid:20927193			Inferring Regulatory Networks from Expression Data Using Tree-Based Methods	PLoS ONE	https://pubmed.ncbi.nlm.nih.gov/20927193/	287	2025	20927193	10.1371/journal.pone.0012776	False	genie3	https://bio.tools/genie3	2024-11-25	bio.tools		
transfac	TRANSFAC	Curates eukaryotic transcription factors, their binding sites, and regulated genes with linked genomic and protein databases	motif-databases|tfbs-prediction|regulatory-elements	motif-databases	core	http://www.gene-regulation.com/pub/databases.html#transfac										Database portal	Transcription factors and regulatory sites|Gene expression|DNA binding sites|Molecular interactions, pathways and networks|Model organisms							2241		2005	pmid:16381825	8048	7	TRANSFAC(R) and its module TRANSCompel(R): transcriptional gene regulation in eukaryotes	Nucleic Acids Research	https://pubmed.ncbi.nlm.nih.gov/16381825/	58	2025	16381825	10.1093/nar/gkj143	False	transfac	https://bio.tools/transfac	2024-11-25	bio.tools		
jaspar	JASPAR	Provides manually curated transcription factor binding profiles as position frequency matrices and a tool for TFBS enrichment analysis in genomic regions	motif-discovery|motif-databases|tfbs-prediction	motif-discovery	core	http://jaspar.genereg.net/		https://github.com/asntech/pyjaspar		recorded	38	2026-02-10	False	Python	MIT	Database portal|Web application	Biological databases|Transcription factors and regulatory sites|Gene regulation|Genomics|Human biology|Plant biology|Model organisms	Python	CC-BY-4.0	declared	Mature	Free of charge	bioconductor|conda|pypi	2171		2022	pmid:34850907	11177	9	JASPAR 2022: the 9th release of the open-access database of transcription factor binding profiles	Nucleic Acids Research	https://pubmed.ncbi.nlm.nih.gov/34850907/	361	2025	34850907	10.1093/nar/gkab1113	False	jaspar	https://bio.tools/jaspar	2023-08-10	bio.tools		The default open motif database; six taxonomic groups, versioned releases
entrez_gene	Entrez Gene	NCBI’s database for gene-specific information	dna-methylation	dna-methylation	core	http://www.ncbi.nlm.nih.gov/gene										Database portal	Molecular interactions, pathways and networks|Model organisms|Gene transcripts|Mapping							2162		2011	pmid:21115458					https://pubmed.ncbi.nlm.nih.gov/21115458/			21115458		False	entrez_gene	https://bio.tools/entrez_gene	2024-11-24	bio.tools		
TRRUST	TRRUST	Manually curated database of human and mouse transcriptional regulatory interactions from literature	motif-databases|grn-inference	motif-databases	seed	https://www.grnpedia.org/trrust/																		2151		2017	doi:10.1093/nar/gkx1013			TRRUST v2: an expanded reference database of human and mouse transcriptional regulatory interactions	Nucleic Acids Research	https://doi.org/10.1093/nar/gkx1013	279	2025	29087512	10.1093/nar/gkx1013	False				curated		
CIS-BP	CIS-BP	Catalogue of Inferred Sequence Binding Preferences, inferring motifs across species from DNA-binding domain similarity	motif-databases	motif-databases	seed	http://cisbp.ccbr.utoronto.ca/																		2049		2014	doi:10.1016/j.cell.2014.08.009			Determination and Inference of Eukaryotic Transcription Factor Sequence Specificity	Cell	https://doi.org/10.1016/j.cell.2014.08.009	206	2025	25215497	10.1016/j.cell.2014.08.009	False				curated		Motif inference across species by DNA-binding-domain similarity
chromvar	chromVAR	Infers transcription-factor-associated accessibility from single-cell epigenomic data	tfbs-prediction|regulatory-elements|nucleosome-chromatin|single-cell	tfbs-prediction	core	https://github.com/GreenleafLab/chromVAR		https://github.com/GreenleafLab/chromVAR		recorded	193	2026-05-01	False	R	NOASSERTION	Library	Epigenomics|Transcription factors and regulatory sites|Nucleic acid structure analysis	R	NOASSERTION	repository			bioconductor	1908		2017	pmid:28825706			chromVAR: inferring transcription-factor-associated accessibility from single-cell epigenomic data	Nature Methods	https://pubmed.ncbi.nlm.nih.gov/28825706/	347	2025	28825706	10.1038/nmeth.4401	False	chromvar	https://bio.tools/chromvar	2018-12-10	bio.tools		
signac	Signac	Extends Seurat for analyzing single-cell chromatin data	peak-calling|single-cell	peak-calling	core	https://satijalab.org/signac/		https://github.com/bioturing/signac		recorded	22	2022-05-18	False	C++	NOASSERTION		Gene expression|RNA-Seq|Genotype and phenotype|Cell biology|Gene transcripts	C++|R|Python	NOASSERTION	repository				1889		2021	pmid:34725479			Single-cell chromatin state analysis with Signac	Nature Methods	https://pubmed.ncbi.nlm.nih.gov/34725479/	531	2025	34725479	10.1038/s41592-021-01282-5	False	signac	https://bio.tools/signac	2021-02-18	bio.tools		
pySCENIC	pySCENIC	Fast Python implementation of SCENIC for single-cell regulatory network inference and regulon scoring	grn-inference|single-cell	grn-inference	seed	https://github.com/aertslab/pySCENIC		https://github.com/aertslab/pySCENIC		curated	628	2025-06-26	False	Python	GPL-3.0				GPL-3.0	repository			pypi	1579		2020	doi:10.1038/s41596-020-0336-2			A scalable SCENIC workflow for single-cell gene regulatory network analysis	Nature Protocols	https://doi.org/10.1038/s41596-020-0336-2	363	2025	32561888	10.1038/s41596-020-0336-2	False				curated	python|single-cell	Fast implementation of SCENIC
archr	ArchR	Processes and analyzes single-cell ATAC-seq data with doublet removal, clustering, peak calling, trajectory identification, and multi-omic integration	peak-calling|peak-annotation|single-cell	peak-calling	core	http://www.ArchRProject.com		https://github.com/GreenleafLab/ArchR		recorded	462	2025-02-18	False	R	MIT	Library	Chromosome conformation capture|Mapping|Gene transcripts|Transcription factors and regulatory sites|Transcriptomics	R	MIT	declared			docker	1486		2021	doi:10.1038/s41588-021-00790-6			ArchR is a scalable software package for integrative single-cell chromatin accessibility analysis	Nature Genetics	https://doi.org/10.1038/s41588-021-00790-6	355	2025	33633365	10.1038/s41588-021-00790-6	False	archr	https://bio.tools/archr	2021-01-28	bio.tools		
Enformer	Enformer	Transformer integrating long-range enhancer-promoter interactions to predict gene expression from sequence	tfbs-prediction|regulatory-elements	tfbs-prediction	seed	https://github.com/google-deepmind/deepmind-research/tree/master/enformer		https://github.com/google-deepmind/deepmind-research		curated	15112	2026-06-17	False	Jupyter Notebook	Apache-2.0				Apache-2.0	repository				1344		2021	doi:10.1038/s41592-021-01252-x			Effective gene expression prediction from sequence by integrating long-range interactions	Nature Methods	https://doi.org/10.1038/s41592-021-01252-x	357	2025	34608324	10.1038/s41592-021-01252-x	False				curated	deep-learning|transformer	Long-range sequence-to-expression model; a common baseline for regulatory prediction
bsmap	BSMAP	short reads mapping software for bisulfite sequencing	nucleosome-chromatin|dna-methylation	nucleosome-chromatin	core	https://code.google.com/archive/p/bsmap/										Command-line tool	Epigenetics	C++	GPL-3.0	declared				1329			pmid:19635165					https://pubmed.ncbi.nlm.nih.gov/19635165/			19635165		False	bsmap	https://bio.tools/bsmap	2024-11-25	bio.tools		
MAST	MAST	Motif Alignment and Search Tool; ranks sequences by matches to a group of known motifs	motif-scanning	motif-scanning	seed	https://meme-suite.org/meme/tools/mast																		1306		1998	doi:10.1093/bioinformatics/14.1.48			Combining evidence using p-values: application to sequence homology searches.	Bioinformatics	https://doi.org/10.1093/bioinformatics/14.1.48	41	2025	9520501	10.1093/bioinformatics/14.1.48	False				curated	meme-suite	
methylumi	methylumi	This package provides classes for holding and manipulating Illumina methylation data	nucleosome-chromatin|dna-methylation	nucleosome-chromatin	extended	http://bioconductor.org/packages/release/bioc/html/methylumi.html		https://github.com/seandavi/methylumi		recorded	9	2026-08-14	False	R		Command-line tool|Library	Sequencing|Epigenetics|DNA	R	GPL-2.0	declared			bioconductor	1293			pmid:23631413					https://pubmed.ncbi.nlm.nih.gov/23631413/			23631413		False	methylumi	https://bio.tools/methylumi	2024-11-25	bio.tools		
watermelon	wateRmelon	The package makes it convenient to use data quality metrics and normalization methods for Illumina 450 methylation array	nucleosome-chromatin|dna-methylation	nucleosome-chromatin	extended	http://bioconductor.org/packages/release/bioc/html/wateRmelon.html										Command-line tool|Library	Microarray experiment|Statistics and probability|Epigenetics	R	GPL-3.0	declared			bioconductor	1293		2013	pmid:23631413					https://pubmed.ncbi.nlm.nih.gov/23631413/			23631413		False	watermelon	https://bio.tools/watermelon	2019-01-09	bio.tools		
chippeakanno	ChIPpeakAnno	Annotates enriched peaks from ChIP-seq, ChIP-chip, or CAGE experiments with nearby genes, GO terms, and flanking sequences	tfbs-prediction|peak-calling|peak-annotation	tfbs-prediction	core	http://bioconductor.org/packages/release/bioc/html/ChIPpeakAnno.html										Command-line tool|Library	ChIP-seq|ChIP-on-chip	R	GPL-2.0	declared			bioconductor	1291		2013	doi:10.1186/1471-2105-11-237			ChIPpeakAnno: a Bioconductor package to annotate ChIP-seq and ChIP-chip data	BMC Bioinformatics	https://doi.org/10.1186/1471-2105-11-237	125	2025	20459804	10.1186/1471-2105-11-237	False	chippeakanno	https://bio.tools/chippeakanno	2019-01-10	bio.tools		
dnabert	DNABERT	Pre-trains a bidirectional encoder representation on genomic DNA sequences to capture global and transferrable sequence understanding	motif-scanning|tfbs-prediction|regulatory-elements|peak-calling	motif-scanning	core	https://github.com/jerryji1993/DNABERT		https://github.com/jerryji1993/DNABERT		recorded	768	2026-01-22	False	Python	Apache-2.0	Command-line tool	Transcription factors and regulatory sites|DNA polymorphism|RNA splicing|ChIP-seq|Gene transcripts|Genetic variation	Python	Apache-2.0	repository				1287		2021	pmid:33538820			DNABERT: pre-trained Bidirectional Encoder Representations from Transformers model for DNA-language in genome	Bioinformatics	https://pubmed.ncbi.nlm.nih.gov/33538820/	422	2025	33538820	10.1093/bioinformatics/btab083	False	dnabert	https://bio.tools/dnabert	2024-11-24	bio.tools		
nucleosome_prediction	nucleosome_prediction	Predicts nucleosome positions on a genome from DNA sequence preferences	nucleosome-chromatin	nucleosome-chromatin	core	https://genie.weizmann.ac.il/software/nucleo_exe.html										Command-line tool	Structural genomics|Nucleic acid sites, features and motifs	Perl			Mature	Free of charge		1249		2008	doi:10.1038/nature07667			The DNA-encoded nucleosome organization of a eukaryotic genome	Nature	https://doi.org/10.1038/nature07667	31	2025	19092803	10.1038/nature07667	False	nucleosome_prediction	https://bio.tools/nucleosome_prediction	2024-11-07	bio.tools		
ChEA3	ChEA3	Ranks transcription factors associated with user-submitted gene sets by integrating TF-gene co-expression, ChIP-seq targets, and co-occurrence libraries	grn-inference	grn-inference	core	https://amp.pharm.mssm.edu/ChEA3		https://github.com/maayanlab/chea3web		recorded	10	2022-04-21	False	HTML		Web application	Transcription factors and regulatory sites|Gene transcripts|RNA-Seq	R|JavaScript	Unlicense	declared	Mature	Free of charge	docker	1229		2019	pmid:31114921			ChEA3: transcription factor enrichment analysis by orthogonal omics integration	Nucleic Acids Research	https://pubmed.ncbi.nlm.nih.gov/31114921/	217	2025	31114921	10.1093/nar/gkz446	False	ChEA3	https://bio.tools/ChEA3	2020-06-16	bio.tools		
pipmaker	PipMaker	Aligns two long DNA sequences to identify conserved segments and produces percent identity plots	tfbs-prediction|regulatory-elements	tfbs-prediction	core	http://bio.cse.psu.edu/										Web application	Gene transcripts|Transcription factors and regulatory sites|DNA|Gene expression|DNA binding sites							1197		2000	pmid:10779500	1434	2	PipMaker—A Web Server for Aligning Two Genomic DNA Sequences	Genome Research	https://pubmed.ncbi.nlm.nih.gov/10779500/	10	2025	10779500	10.1101/gr.10.4.577	False	pipmaker	https://bio.tools/pipmaker	2024-11-25	bio.tools		
Basset	Basset	Convolutional neural network for learning the regulatory code of accessible genomes from DNase-seq	tfbs-prediction|nucleosome-chromatin	tfbs-prediction	seed	https://github.com/davek44/Basset		https://github.com/davek44/Basset		curated	268	2020-09-14	False	Jupyter Notebook	MIT				MIT	repository			docker	1185		2016	doi:10.1101/gr.200535.115			Basset: learning the regulatory code of the accessible genome with deep convolutional neural networks	Genome Research	https://doi.org/10.1101/gr.200535.115	120	2025	27197224	10.1101/gr.200535.115	False				curated	deep-learning	
progeny	progeny	Infers pathway activity from gene expression using a linear model of perturbation-response genes	grn-inference	grn-inference	core	http://bioconductor.org/packages/release/bioc/html/progeny.html		https://github.com/saezlab/progeny		recorded	127	2023-01-30	False	R	Apache-2.0	Library	Function analysis|Gene expression|Gene regulation|Systems biology	R	Apache-2.0	declared		Free of charge	bioconductor	1174		2018	pmid:29295995			Perturbation-response genes reveal signaling footprints in cancer gene expression	Nature Communications	https://pubmed.ncbi.nlm.nih.gov/29295995/	244	2025	29295995	10.1038/s41467-017-02391-6	False	progeny	https://bio.tools/progeny	2018-12-16	bio.tools		
DREME	DREME	Discriminative motif discovery for short motifs in large ChIP-seq datasets (superseded by STREME)	motif-discovery	motif-discovery	seed	https://meme-suite.org/meme/tools/dreme																		1130		2011	doi:10.1093/bioinformatics/btr261			DREME: motif discovery in transcription factor ChIP-seq data	Bioinformatics	https://doi.org/10.1093/bioinformatics/btr261	38	2025	21543442	10.1093/bioinformatics/btr261	False				curated	meme-suite|deprecated	
match	Match	Searches for putative transcription factor binding sites in DNA sequences using weight matrices from the TRANSFAC database	tfbs-prediction|regulatory-elements	tfbs-prediction	core	http://www.gene-regulation.com/pub/programs.html#match										Web application	Transcription factors and regulatory sites|DNA binding sites|Gene expression|Nucleic acid sites, features and motifs|DNA							1122		2003	pmid:12824369			MATCHTM: a tool for searching transcription factor binding sites in DNA sequences	Nucleic Acids Research	https://pubmed.ncbi.nlm.nih.gov/12824369/	19	2025	12824369	10.1093/nar/gkg585	False	match	https://bio.tools/match	2024-11-25	bio.tools		
encode_dcc	ENCODE DCC	Central repository for ENCODE functional genomics data, including sequences, alignments, signals, and peak calls	peak-calling|chip-resources	peak-calling	core	http://encodeproject.org/ENCODE/										Database portal	Gene expression|ChIP-seq|RNA-Seq|Epigenetics							1120		2011	pmid:31713622	1651	3	New developments on the Encyclopedia of DNA Elements (ENCODE) data portal	Nucleic Acids Research	https://pubmed.ncbi.nlm.nih.gov/31713622/	286	2025	31713622	10.1093/nar/gkz1062	False	encode_dcc	https://bio.tools/encode_dcc	2020-12-25	bio.tools		
sicer	SICER	Identifies enriched domains from histone modification ChIP-seq data by clustering spatial signals unlikely to occur by chance	peak-calling|nucleosome-chromatin|histone-marks	peak-calling	core	http://home.gwu.edu/%7Ewpeng/Software.htm										Script	ChIP-seq|Epigenomics	Python			Mature			1112		2009	pmid:19505939			A clustering approach for identification of enriched domains from histone modification ChIP-Seq data	Bioinformatics	https://pubmed.ncbi.nlm.nih.gov/19505939/	50	2025	19505939	10.1093/bioinformatics/btp340	False	sicer	https://bio.tools/sicer	2024-11-25	bio.tools		
ggseqlogo	ggseqlogo	A 'ggplot2' Extension for Drawing Publication-Ready Sequence Logos.	motif-comparison	motif-comparison	core	https://cran.r-project.org/web/packages/ggseqlogo/		https://github.com/omarwagih/ggseqlogo		recorded	230	2026-02-14	False	R		Library	Data visualisation|Sequencing|Sequence analysis	R					cran	1102		2017	pmid:29036507					https://pubmed.ncbi.nlm.nih.gov/29036507/			29036507		False	ggseqlogo	https://bio.tools/ggseqlogo	2024-11-25	bio.tools		
hocomoco	HOCOMOCO	Provides transcription factor binding models as position weight matrices for human and mouse, derived from ChIP-Seq data	motif-databases	motif-databases	core	https://hocomoco.autosome.org										Database portal	DNA binding sites|ChIP-seq				Mature			1095		2018	pmid:29140464			HOCOMOCO: towards a complete collection of transcription factor binding models for human and mouse via large-scale ChIP-Seq analysis	Nucleic Acids Research	https://pubmed.ncbi.nlm.nih.gov/29140464/	111	2025	29140464	10.1093/nar/gkx1106	False	hocomoco	https://bio.tools/hocomoco	2024-11-24	bio.tools		Human and mouse motifs derived from uniform ChIP-seq reprocessing
VIPER	VIPER	Infers protein activity from the expression of its regulon	grn-inference	grn-inference	seed	https://bioconductor.org/packages/viper/																	bioconductor	1079		2016	doi:10.1038/ng.3593			Functional characterization of somatic mutations in cancer using network-based inference of protein activity	Nature Genetics	https://doi.org/10.1038/ng.3593	132	2025	27322546	10.1038/ng.3593	False				curated	bioconductor	
PlantRegMap	PlantRegMap	Provides a resource of plant transcription factors, regulatory elements, and their interactions, with an algorithm for functional binding site prediction	tfbs-prediction|regulatory-elements|peak-calling	tfbs-prediction	core	http://plantregmap.gao-lab.org/											Plant biology|Transcription factors and regulatory sites|Gene regulation|ChIP-seq|Mapping							1070		2020	pmid:31701126			PlantRegMap: charting functional regulatory maps in plants	Nucleic Acids Research	https://pubmed.ncbi.nlm.nih.gov/31701126/	191	2025	31701126	10.1093/nar/gkz1020	False	PlantRegMap	https://bio.tools/PlantRegMap	2021-01-10	bio.tools		
dmrcate	DMRcate	De novo identification and extraction of differentially methylated regions (DMRs) from the human genome using Whole Genome Bisulphite Sequencing (WGBS) and Illumina Infinium Array (450K and EPIC) data	dna-methylation	dna-methylation	core	http://bioconductor.org/packages/release/bioc/html/DMRcate.html										Command-line tool|Library	DNA|Sequencing	R					bioconductor	1061		2015	pmid:25972926					https://pubmed.ncbi.nlm.nih.gov/25972926/			25972926		False	dmrcate	https://bio.tools/dmrcate	2019-01-11	bio.tools		
iRegulon	iRegulon	Cytoscape plug-in detecting enriched motifs and their upstream regulators in a gene signature	motif-scanning|grn-inference	motif-scanning	seed	http://iregulon.aertslab.org/																		999		2014	doi:10.1371/journal.pcbi.1003731			iRegulon: From a Gene List to a Gene Regulatory Network Using Large Motif and Track Collections	PLoS Computational Biology	https://doi.org/10.1371/journal.pcbi.1003731	69	2025	25058159	10.1371/journal.pcbi.1003731	False				curated		
